time,spot_x_axis_x7,spot_y_axis_x7,spot_z_axis_x7,spot_x_axis_base,spot_y_axis_base,spot_z_axis_base
1.576,-0.0234375,-0.0234375,-0.03515625,-0.0234375,0.01171875,-0.0234375
1.583,-0.046875,-0.0234375,-0.01171875,0.0,0.0,-0.0
1.594,-0.046875,-0.0234375,-0.01171875,0.0,0.0,-0.0
1.602,0.0234375,-0.0234375,-0.0234375,-0.0234375,0.046875,-0.03515625
1.61,0.0234375,-0.0234375,-0.0234375,-0.0234375,0.046875,-0.03515625
1.618,-0.0234375,-0.01171875,0.1640625,0.0,0.0234375,0.01171875
1.627,-0.0234375,-0.01171875,-0.0,0.0,0.0234375,0.01171875
1.635,-0.0234375,-0.01171875,-0.0,-0.01171875,0.0234375,0.01171875
1.643,-0.0234375,-0.0234375,-0.01171875,-0.01171875,0.0234375,-0.03515625
1.651,-0.0234375,-0.0234375,-0.01171875,-0.01171875,0.0234375,-0.03515625
1.659,-0.01171875,0.0,-0.0234375,0.0,0.01171875,-0.0
1.667,-0.01171875,0.0,-0.0234375,0.0,0.01171875,-0.0
1.675,-0.01171875,0.0,-0.0234375,-0.0234375,0.01171875,-0.0
1.683,-0.03515625,-0.01171875,-0.03515625,-0.0234375,0.0234375,-0.0
1.691,-0.03515625,-0.01171875,-0.03515625,-0.0234375,0.0234375,-0.0
1.698,-0.046875,0.0,-0.01171875,-0.0234375,0.01171875,-0.03515625
1.706,-0.046875,0.0,-0.01171875,-0.0234375,0.01171875,-0.03515625
1.714,-0.046875,0.0,-0.01171875,-0.01171875,0.01171875,-0.03515625
1.722,-0.01171875,-0.03515625,-0.0234375,-0.01171875,0.01171875,-0.01171875
1.73,-0.01171875,-0.03515625,-0.0234375,-0.01171875,0.01171875,-0.01171875
1.738,-0.01171875,0.0,0.1640625,0.0,0.0234375,0.01171875
1.746,-0.01171875,0.0,-0.01171875,0.0,0.0234375,0.01171875
1.754,-0.01171875,0.0,-0.01171875,0.01171875,0.0,0.01171875
1.762,-0.0234375,0.01171875,-0.0234375,0.01171875,0.0,0.0234375
1.77,-0.0234375,0.01171875,-0.0234375,0.01171875,0.0,0.0234375
1.778,0.0,-0.01171875,-0.0234375,-0.0234375,0.0234375,-0.01171875
1.786,0.0,-0.01171875,-0.0234375,-0.0234375,0.0234375,-0.01171875
1.794,0.0,-0.01171875,-0.0234375,0.0,0.0,-0.0
1.802,0.0234375,0.03515625,-0.0,0.0,0.0,-0.0
1.81,0.0234375,0.03515625,-0.0,0.0,0.0,-0.0
1.818,-0.01171875,0.03515625,-0.0,-0.01171875,0.0234375,-0.03515625
1.826,-0.01171875,-0.01171875,-0.0,-0.01171875,0.0234375,-0.03515625
1.834,-0.01171875,-0.01171875,-0.0,-0.03515625,-0.01171875,0.0234375
1.841,-0.01171875,-0.0234375,0.0234375,-0.03515625,-0.01171875,0.0234375
1.849,-0.01171875,-0.0234375,0.0234375,-0.03515625,-0.01171875,0.0234375
1.857,0.0,-0.0234375,0.0234375,0.01171875,0.0,0.03515625
1.865,0.0,-0.0234375,-0.01171875,0.01171875,0.0,0.03515625
1.873,0.0,-0.0234375,-0.01171875,-0.0234375,0.01171875,-0.0
1.881,-0.01171875,0.0,-0.0234375,-0.0234375,0.01171875,-0.0
1.889,-0.01171875,0.0,-0.0234375,-0.0234375,0.01171875,-0.0
1.897,0.0234375,0.0,-0.0234375,-0.0234375,0.01171875,-0.0234375
1.905,0.0234375,0.0,-0.03515625,-0.0234375,0.01171875,-0.0234375
1.913,0.0234375,0.0,-0.03515625,-0.01171875,0.0,-0.0
1.921,-0.046875,-0.01171875,-0.01171875,-0.01171875,0.0,-0.0
1.929,-0.046875,-0.01171875,-0.01171875,0.0,0.0,-0.0
1.937,-0.01171875,-0.01171875,-0.01171875,0.0,0.0234375,-0.0
1.945,-0.01171875,-0.046875,-0.0234375,0.0,0.0234375,-0.0
1.953,-0.01171875,-0.046875,-0.0234375,0.0,0.01171875,-0.01171875
1.961,-0.0234375,-0.03515625,-0.0,0.0,0.01171875,-0.01171875
1.969,-0.0234375,-0.03515625,-0.0,-0.0234375,0.0,-0.19921875
1.977,0.01171875,-0.03515625,-0.0,-0.0234375,0.0,-0.03515625
1.985,0.01171875,0.0,-0.03515625,-0.0234375,0.0,-0.03515625
1.993,0.01171875,0.0,-0.03515625,-0.03515625,0.0,-0.01171875
2.001,-0.03515625,-0.01171875,-0.0234375,-0.03515625,0.0,-0.01171875
2.009,-0.03515625,-0.01171875,-0.0234375,0.01171875,0.01171875,0.0234375
2.017,-0.03515625,-0.01171875,-0.0234375,0.01171875,0.01171875,0.0234375
2.024,0.0,0.01171875,-0.0234375,0.01171875,0.01171875,0.0234375
2.032,0.0,0.01171875,-0.0234375,0.0,0.0234375,-0.0
2.04,-0.0234375,-0.01171875,-0.0,0.0,0.0234375,-0.0
2.048,-0.0234375,-0.01171875,-0.0,-0.03515625,0.03515625,-0.0
2.056,-0.0234375,-0.01171875,-0.0,-0.03515625,0.03515625,-0.0
